year,block,treatment,species,sample.id,d13C,C.ug,d15N,N.ug,sample.mg
2017,14,A,ASSU,2017-ASSU-14A,-28.67,2482.5,1.8,128.68,5.822
2017,14,B,ASSU,2017-ASSU-14B,-30.39,1409.26,-0.83,75.12,3.347
2017,14,C,ASSU,2017-ASSU-14C,-27.59,1802.52,-1.51,69.22,4.236
2017,14,D,ASSU,2017-ASSU-14D,-28.08,2003.61,-1.63,99.63,4.771
2017,7,A,ASSU,2017-ASSU-7A,-27.33,1307.03,-0.2,68.56,2.92
2017,7,B,ASSU,2017-ASSU-7B,-27.54,907.21,-1.82,43.91,2.021
2017,7,C,ASSU,2017-ASSU-7C,-26.59,1822.75,-0.52,109.95,4.149
2017,7,D,ASSU,2017-ASSU-7D,-27.65,1194.61,-1.17,63.46,2.673
2017,21,A,ASSU,2017-ASSU-21A,-28.57,2009.2,3.48,136.04,4.617
2017,21,B,ASSU,2017-ASSU-21B,-29.13,904.81,-0.8,69.34,2.075
2017,21,C,ASSU,2017-ASSU-21C,-29.12,1581.22,-0.72,97.6,3.622
2017,21,D,ASSU,2017-ASSU-21D,-30.73,1428.32,0.1,100.1,3.361
2017,17,A,ASSU,2017-ASSU-17A,-28.5,1485.62,1.72,103.16,3.384
2017,17,B,ASSU,2017-ASSU-17B,-29.06,1316.75,-1.56,64.67,2.985
2017,17,C,ASSU,2017-ASSU-17C,-28.2,1480.2,-0.77,90.54,3.354
2017,17,D,ASSU,2017-ASSU-17D,-27.69,1345.21,-1.87,67.02,3.091
2017,10,A,ASSU,2017-ASSU-10A,-30.5,1554.29,-2.23,65.82,3.589
2017,10,B,ASSU,2017-ASSU-10B,-30.93,1088.79,-2.74,58.81,2.515
2017,10,C,ASSU,2017-ASSU-10C,-29.93,1437.57,-0.41,93.87,3.287
2017,10,D,ASSU,2017-ASSU-10D,-30.13,1205.73,-3.62,41.96,2.75
2017,3,A,ASSU,2017-ASSU-3A,-27.45,1144.62,-1.11,75.64,2.645
2017,3,B,ASSU,2017-ASSU-3B,-29.12,1072.2,-0.97,61.77,2.448
2017,3,C,ASSU,2017-ASSU-3C,-30.27,1729.77,-0.33,71.66,3.957
2017,3,D,ASSU,2017-ASSU-3D,-28.75,1892.92,-1.57,107.66,4.236
2017,2,A,ASSU,2017-ASSU-2A,-28.34,847.73,-0.89,53.12,1.908
2017,2,B,ASSU,2017-ASSU-2B,-28.37,1125.4,-1.08,73.19,2.524
2017,2,C,ASSU,2017-ASSU-2C,-28.61,1580.49,1.97,93.23,3.599
2017,2,D,ASSU,2017-ASSU-2D,-28.61,1465.37,-0.64,86.09,3.339
2017,9,A,ASSU,2017-ASSU-9A,-28.52,1198.01,-0.99,54.92,2.823
2017,9,B,ASSU,2017-ASSU-9B,-26.78,2050.06,-0.92,91.93,4.712
2017,9,C,ASSU,2017-ASSU-9C,-28.68,1121.49,2.23,63.63,2.598
2017,9,D,ASSU,2017-ASSU-9D,-27.87,988.49,-1.1,39.17,2.257
2017,25,A,ASSU,2017-ASSU-25A,-29.35,1197.67,-2.6,74.9,2.932
2017,25,B,ASSU,2017-ASSU-25B,-28.05,1849.31,-1.83,80.19,4.302
2017,25,C,ASSU,2017-ASSU-25C,-26.37,1928.98,-0.13,128.32,4.45
2017,25,D,ASSU,2017-ASSU-25D,-28.39,1413.52,-0.58,74.48,3.274
2017,15,A,ASSU,2017-ASSU-15A,-28.57,1760.12,1.24,103.92,4.141
2017,15,B,ASSU,2017-ASSU-15B,-28.36,1216.14,-0.71,60.75,2.862
