id,year,date,block,plot,plot.id,species,indiv,leaf.length,leaf.width,total.leaves,flower.number,display.size.1,display.size.2,display.size.3,display.size.4,display.size.5,display.size.6,display.size.7,display.size.8,seed.set.1,seed.set.2,seed.set.3,seed.set.4,seed.set.5,seed.set.6,seed.set.7,seed.set.8,seed.set.9,seed.set.10,seed.set.11,seed.set.12,seed.set.13,seed.set.14
2017-2C-ACMI-1,2017,23-Jul-17,2,C,2C,ACMI,1,181,29,9,102,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ACMI-1,2017,9-Jul-17,3,C,3C,ACMI,1,135,14,12,208,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ACMI-2,2017,9-Jul-17,3,C,3C,ACMI,2,100,20,19,396,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ACMI-3,2017,9-Jul-17,3,C,3C,ACMI,3,35,7,13,78,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-5B-ACMI-1,2017,23-Jul-17,5,B,5B,ACMI,1,67,25,11,45,36,NA,NA,NA,NA,NA,NA,NA,141.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-5C-ACMI-1,2017,23-Jul-17,5,C,5C,ACMI,1,101,25,10,70,48,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-5D-ACMI-1,2017,23-Jul-17,5,D,5D,ACMI,1,99,17,9,55,23,NA,NA,NA,NA,NA,NA,NA,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6A-ACMI-1,2017,9-Jul-17,6,A,6A,ACMI,1,120,14,16,36,32,NA,NA,NA,NA,NA,NA,NA,117.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ACMI-1,2017,9-Jul-17,6,B,6B,ACMI,1,62,17,16,108,45,NA,NA,NA,NA,NA,NA,NA,596.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ACMI-2,2017,9-Jul-17,6,B,6B,ACMI,2,72,11,16,60,38,NA,NA,NA,NA,NA,NA,NA,898.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ACMI-3,2017,9-Jul-17,6,B,6B,ACMI,3,47,9,19,60,35,NA,NA,NA,NA,NA,NA,NA,313.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ACMI-1,2017,23-Jul-17,6,C,6C,ACMI,1,83,30,8,130,75,NA,NA,NA,NA,NA,NA,NA,304.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ACMI-2,2017,23-Jul-17,6,C,6C,ACMI,2,72,19,9,35,38,NA,NA,NA,NA,NA,NA,NA,176.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ACMI-3,2017,23-Jul-17,6,C,6C,ACMI,3,91,17,11,77,48,NA,NA,NA,NA,NA,NA,NA,156.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7A-ACMI-1,2017,9-Jul-17,7,A,7A,ACMI,1,55,11,23,174,34,NA,NA,NA,NA,NA,NA,NA,302.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7A-ACMI-2,2017,9-Jul-17,7,A,7A,ACMI,2,64,8,20,56,34,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7A-ACMI-3,2017,9-Jul-17,7,A,7A,ACMI,3,56,11,23,90,32,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7B-ACMI-1,2017,9-Jul-17,7,B,7B,ACMI,1,42,14,16,84,43,NA,NA,NA,NA,NA,NA,NA,948.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7B-ACMI-2,2017,9-Jul-17,7,B,7B,ACMI,2,92,17,15,192,78,NA,NA,NA,NA,NA,NA,NA,2604.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7B-ACMI-3,2017,9-Jul-17,7,B,7B,ACMI,3,81,15,11,96,55,NA,NA,NA,NA,NA,NA,NA,1169.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
